date,Bid,Offer,Difference
15-10-2024,17150,17175,25
16-10-2024,17065,17070,5
17-10-2024,16620,16630,10
18-10-2024,16775,16780,5
21-10-2024,16710,16715,5
22-10-2024,16300,16310,10
23-10-2024,15855,15860,5
